id,source,text_sample,riesgo,razones,multa_monto,categoria_infraccion,reincidencia,sector,tamano
DFL-1_16-ENE-2003.pdf::chunk-0,DFL-1_16-ENE-2003.pdf,"DFL 1, TRABAJO (2002) Documento firmado digitalmente por Ignacio Rodríguez Álvarez, Director. Para validar, acceda al sitio web www.leychile.cl/validar e ingrese código N207436S2418708 Documento generado el 21-Nov-2025 página 1 de 311 Decreto con Fuerza de Ley 1 FIJA EL TEXTO REFUNDIDO, COORDINADO Y",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-1,DFL-1_16-ENE-2003.pdf,"io de la ley Nº 19.759 facultó ""al Presidente de la República para que, dentro del plazo de un año, mediante un decreto con fuerza de ley del Ministerio del Trabajo y Previsión Social, dicte el texto refundido, coordinado y sistematizado del Código del Trabajo"". 2.- Que asimismo es recomendable, por",null,null,0.0,,False,,
DFL-1_16-ENE-2003.pdf::chunk-2,DFL-1_16-ENE-2003.pdf,"es se regularán ART. PRIMERO por este Código y por sus leyes complementarias. Art. 1º Estas normas no se aplicarán, sin embargo, a los funcionarios de la Administración del Estado, centralizada y descentralizada, del DFL 1, TRABAJO (2002) Documento firmado digitalmente por Ignacio Rodríguez Álvarez,",bajo,sin sanciones y con políticas,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-3,DFL-1_16-ENE-2003.pdf,"precedente se sujetarán a las normas de este Código en los aspectos o materias no regulados en sus respectivos estatutos, siempre que ellas no fueren contrarias a estos últimos. Los trabajadores que presten servicios L. 19759 en los oficios de notarías, archiveros o Art. único, Nº 1 conservadores se",,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-4,DFL-1_16-ENE-2003.pdf,"abajo y la libertad de las personas para contratar y dedicar su esfuerzo a la labor lícita que elijan. L. 18.620 ART. PRIMERO Las relaciones laborales deberán siempre fundarse en Art. 2º un trato libre de violencia, compatible con la dignidad de la persona y con perspectiva de género, lo que, para e",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-5,DFL-1_16-ENE-2003.pdf,"dades en el empleo. b) El acoso laboral, entendiéndose por tal toda conducta que constituya agresión u hostigamiento ejercida por el empleador o por uno o más trabajadores, en contra de otro u otros trabajadores, por cualquier medio, ya sea que se manifieste una sola vez o de manera reiterada, y que",medio,documentación incompleta,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-6,DFL-1_16-ENE-2003.pdf,"e por tal aquellas conductas que afecten a las trabajadoras y a los trabajadores, con ocasión de la prestación de servicios, por parte de clientes, proveedores o usuarios, entre otros. Son contrarios a los principios de las leyes laborales los actos de discriminación. L. 19.759 Art. único, Nº 2 Los ",bajo,,,,[],,
DFL-1_16-ENE-2003.pdf::chunk-7,DFL-1_16-ENE-2003.pdf,"gan por objeto anular o alterar la igualdad de oportunidades o de trato en el empleo y la ocupación. Ley 21675 Art. 57 Con todo, las distinciones, exclusiones o preferencias D.O. 14.06.2024 basadas en las calificaciones exigidas para un empleo Ley 21155 determinado no serán consideradas discriminaci",alto,discriminación en el empleo,,,,,
DFL-1_16-ENE-2003.pdf::chunk-8,DFL-1_16-ENE-2003.pdf,"jadores a la ausencia de obligaciones de carácter Art. 1º Nº 1 b) económico, financiero, bancario o comercial que, conforme a D.O. 18.03.2005 la ley, puedan ser comunicadas por los responsables de L. 19812 registros o bancos de datos personales; ni exigir para Art. 2º dicho fin declaración ni certif",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-9,DFL-1_16-ENE-2003.pdf,"de contrato, o la promoción o movilidad en su empleo, al hecho de no padecer o no haber padecido cáncer, ni exigir para dichos fines certificado o examen alguno. Ley 21258 Art. 22 N° 1 Lo dispuesto en los incisos tercero y cuarto de este D.O. 02.09.2020 artículo y las obligaciones que de ellos emana",alto,trabajo de menores,,,,trabajo,
DFL-1_16-ENE-2003.pdf::chunk-10,DFL-1_16-ENE-2003.pdf,"rmas que regulan la prestación de los servicios. Art. 3.o Para todos los efectos legales se entiende por: L. 18620 a) empleador: la persona natural o jurídica que utiliza ART. PRIMERO los servicios intelectuales o materiales de una o más Art. 3º personas en virtud de un contrato de trabajo, b) traba",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-11,DFL-1_16-ENE-2003.pdf,"oda organización de medios personales, materiales e inmateriales, ordenados bajo la dirección de un empleador, para el logro de fines económicos, sociales, culturales o benéficos, dotada de una individualidad legal determinada. Ley 20760 Art. ÚNICO Nº 1 a) Dos o más empresas serán consideradas como ",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-12,DFL-1_16-ENE-2003.pdf,"dos en el inciso anterior. Las empresas que cumplan lo dispuesto en el inciso cuarto serán solidariamente responsables del cumplimiento de las obligaciones laborales y previsionales emanadas de la ley, de los contratos individuales o de instrumentos colectivos. Las cuestiones suscitadas por la aplic",bajo,sin sanciones,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-13,DFL-1_16-ENE-2003.pdf,"dispuesto en el artículo 507 de este Código. Ley 21394 Art. 5º, N° 1) Los trabajadores de todas las empresas consideradas D.O. 30.11.2021 DFL 1, TRABAJO (2002) Documento firmado digitalmente por Ignacio Rodríguez Álvarez, Director. Para validar, acceda al sitio web www.leychile.cl/validar e ingrese ",alto,trabajo infantil,,trabajo de menores,,,
DFL-1_16-ENE-2003.pdf::chunk-14,DFL-1_16-ENE-2003.pdf,"ectos de contrato colectivo, siendo obligatorio para el empleador negociar con dichos sindicatos. En todos estos casos, la presentación y tramitación de los proyectos de contrato colectivo se regirán por las normas establecidas en el Título IV del Libro IV de este Código. Ley 20940 Art. 1 N° 2 D.O. ",alto,antisindicalidad,,contrato colectivo,False,,
DFL-1_16-ENE-2003.pdf::chunk-15,DFL-1_16-ENE-2003.pdf,"presa no alterarán los derechos y obligaciones de los trabajadores emanados de sus contratos individuales o de los instrumentos colectivos de trabajo, que mantendrán su vigencia y continuidad con el o los nuevos empleadores. De igual forma, en el caso de los trabajadores mencionados en el inciso fin",,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-16,DFL-1_16-ENE-2003.pdf,"ntimidad, la vida privada o la honra de éstos. Los derechos establecidos por las leyes L. 18.620 laborales son irrenunciables, mientras subsista ART. PRIMERO el contrato de trabajo. Art. 5º Los contratos individuales y los instrumentos Ley 20940 colectivos de trabajo podrán ser modificados, Art. 1 N",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-17,DFL-1_16-ENE-2003.pdf,"un empleador y un trabajador. Es colectivo el celebrado por uno o más L. 19250 empleadores con una o más organizaciones Art. 1º, Nº 1 sindicales o con trabajadores que se unan para negociar colectivamente, o con unos y otros, con el objeto de establecer condiciones comunes de trabajo y de remuneraci",,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-18,DFL-1_16-ENE-2003.pdf,"tación de servicios en L. 18.620 los términos señalados en el artículo anterior, ART. PRIMERO hace presumir la existencia de un contrato de Art. 8º trabajo. Los servicios prestados por personas que realizan oficios o ejecutan trabajos directamente al público, o aquellos que se efectúan discontinua o",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-19,DFL-1_16-ENE-2003.pdf,"satoria de dichos beneficios, convenida anticipada y expresamente, lo que no constituirá remuneración para efecto legal alguno. DFL 1, TRABAJO (2002) Documento firmado digitalmente por Ignacio Rodríguez Álvarez, Director. Para validar, acceda al sitio web www.leychile.cl/validar e ingrese código N20",bajo,,0.0,,False,,
DFL-1_16-ENE-2003.pdf::chunk-20,DFL-1_16-ENE-2003.pdf,"l plazo de quince días de incorporado el trabajador, o de cinco días si se trata de contratos por obra, trabajo o servicio determinado o de duración inferior a treinta días, será sancionado con una multa a beneficio fiscal de una a cinco unidades tributarias mensuales. Si el trabajador se negare a f",alto,trabajo infantil,,,,,
DFL-1_16-ENE-2003.pdf::chunk-21,DFL-1_16-ENE-2003.pdf,"inciso segundo, la falta de contrato escrito hará presumir legalmente que son estipulaciones del contrato las que declare el trabajador. El empleador, en todo caso, estará obligado a Ley 20396 mantener en el lugar de trabajo, o en un lugar Art. UNICO a) fijado con anterioridad y que deberá D.O. 23.1",alto,trabajo infantil,,,,,
DFL-1_16-ENE-2003.pdf::chunk-22,DFL-1_16-ENE-2003.pdf,"ministración, control, operatividad o seguridad o que sus trabajadores presten servicios en instalaciones de terceros, o lugares de difícil ubicación específica, o carentes de condiciones materiales en las cuales mantener adecuadamente la referida documentación, como labores agrícolas, mineras o for",alto,documentación incompleta,,,,servicios,mediana
DFL-1_16-ENE-2003.pdf::chunk-23,DFL-1_16-ENE-2003.pdf,"Director del Trabajo, mediante resolución fundada, fijará las condiciones y modalidades para dicha centralización. La Dirección del Trabajo deberá resolver la solicitud de que trata este inciso en un plazo de treinta días, no siendo exigible la obligación establecida en el inciso quinto, en tanto no",alto,documento incompleto,,nulo,False,trabajo,
DFL-1_16-ENE-2003.pdf::chunk-24,DFL-1_16-ENE-2003.pdf,"los contratos de trabajo, dentro de los quince días siguientes a su celebración. Asimismo, deberá registrar las terminaciones de contrato, dentro de los plazos establecidos en los artículos 162 y 163 bis para el envío de las copias de las comunicaciones de terminación de contrato a la Inspección del",alto,antisindicalidad,,,False,,
